,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
D11,-0.008715,-0.017295,-0.411582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.732154,0.395675,0.809199,0.002412,0.022595,0.035116,0.021849,-0.017009,-0.001209,0.032637,-0.019685,0.000419,0.025303,-0.025224,0.001063,-0.004886,0.018698,0.027308,0.007833,0.000895,0.010779,-0.013757,0.018203,0.013178,-0.000164,3.5e-05,-0.00548,0.000293,0.003363,0.004611,-0.018401,0.014,0.008746,0.006788
E1,-0.011572,-0.031438,-0.804061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.514427,0.607869,0.737164,0.00305,0.025588,0.044618,0.010096,-0.01276,-0.000604,0.012015,-0.014337,0.000944,0.026192,-0.019928,0.001163,-0.013054,0.01616,0.008782,0.005286,0.000617,0.01798,-0.023546,0.013102,0.016125,-0.000892,0.00038,-0.00484,4.4e-05,0.002401,0.003022,-0.005531,0.006106,0.016558,0.004071
E2,0.000531,-0.028183,-0.556158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.700617,-0.653796,0.057211,0.002457,0.025567,0.0178,0.008326,-0.011875,-0.001615,0.018895,-0.011485,0.000227,0.078612,-0.039078,0.000467,-0.005403,0.013791,0.014503,0.003373,0.000252,0.023301,-0.013667,0.008145,0.011855,-0.000474,5.1e-05,-0.00353,0.000276,0.002499,0.001995,-0.006871,0.017341,0.021195,0.003108
E3,-0.003573,-0.017925,0.085097,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.482504,0.678089,0.942464,0.00506,0.037364,0.025667,0.017241,-0.0117,-0.001509,0.014409,-0.024077,-0.000447,0.02376,-0.035235,0.002029,-0.025429,0.01636,0.019169,0.004762,0.000227,0.011701,-0.010609,0.016122,0.027198,-0.000888,0.000291,-0.005459,8.7e-05,0.002226,0.004198,-0.010247,0.029108,0.018482,0.003748
E4,-0.003588,-0.011172,-0.753871,-0.816947,-0.719024,-0.452768,-0.461432,-0.509894,-0.129425,-0.343577,-0.732154,-0.514427,0.700617,-0.482504,1.0,-0.281114,1.0,-0.004011,0.016353,0.017045,0.008766,-0.038444,0.002053,-0.001635,-0.000399,0.001689,0.020912,-0.011713,-0.00286,-0.015192,0.014689,0.002132,0.010935,-0.000486,0.003762,-0.003744,0.006333,-0.000645,-0.009253,-0.004704,-0.005698,0.002822,0.01784,-0.007122,-0.005729,0.009093,0.039495,-0.016472
E5,0.000399,0.021509,1.0,0.904268,0.94197,0.80528,0.354054,0.66216,0.88007,0.586469,0.395675,0.607869,-0.653796,0.678089,-0.281114,1.0,0.297645,-0.019243,-0.02612,-0.032309,-0.014201,-0.002889,0.011445,-0.006207,0.059648,0.00632,-0.00143,0.051002,-0.027053,0.006853,0.005871,-0.04497,0.006793,-0.002848,-0.021623,0.026677,-0.02026,-0.064142,-0.013313,-0.013133,-0.00861,0.007644,0.005219,-0.02375,0.01394,-0.018844,0.037001,-0.11948
E6,0.009765,0.023255,-0.599037,0.808816,0.836517,0.961401,0.789498,0.967145,0.947377,0.983512,0.809199,0.737164,0.057211,0.942464,1.0,0.297645,1.0,0.016472,-0.073828,-0.029985,-0.021068,0.064897,-0.006973,0.00066,-0.000681,-0.018734,-0.010181,0.078192,0.024339,0.030223,-0.128676,-0.007922,-0.026935,0.004837,-0.023296,0.026318,-0.021717,0.001637,0.021767,0.034443,0.016617,-0.010141,-0.01847,0.025764,0.040083,-0.052602,-0.111894,0.108959
E7,0.099197,-0.049479,0.014248,0.002137,0.002542,0.004546,0.004774,0.002252,0.002965,0.00319,0.002412,0.00305,0.002457,0.00506,-0.004011,-0.019243,0.016472,1.0,0.180026,0.556787,0.250024,-0.103335,-0.123094,-0.088508,0.064201,0.097609,-0.044568,0.005074,0.097529,0.062371,-0.013617,0.088113,0.142827,-0.086749,0.080475,-0.059277,0.061483,-0.001478,-0.08107,0.097297,0.011208,-0.098388,-0.11356,-0.008853,0.033417,-0.001885,0.012906,-0.048586
E8,-0.023906,0.067548,0.020746,0.013107,0.015716,0.020947,0.016964,0.019854,0.020606,0.019767,0.022595,0.025588,0.025567,0.037364,0.016353,-0.02612,-0.073828,0.180026,1.0,-0.54619,0.194951,0.118542,-0.051268,0.021487,-0.01903,-0.111657,0.10097,-0.115449,0.11118,-0.027453,-0.133367,0.12906,-0.021283,-0.067251,0.062524,-0.023586,0.06525,-0.000126,0.1297,0.017572,-0.03091,0.110635,-0.090898,-0.076017,0.09161,-0.07064,0.088638,-0.072172
E9,-0.005072,-0.104319,0.031182,0.038121,0.026434,0.032978,0.026502,0.041638,0.019691,0.03074,0.035116,0.044618,0.0178,0.025667,0.017045,-0.032309,-0.029985,0.556787,-0.54619,1.0,0.050624,0.50318,-0.148579,-0.022599,0.020615,-0.079357,-0.057441,0.058702,-0.058617,0.014247,-0.049153,-0.018354,-0.01094,-0.025831,-0.079713,0.101837,0.000888,-0.15133,0.033594,-0.064678,0.035756,0.032053,0.133758,0.138296,0.070057,-0.102555,0.008692,0.030851
E10,-0.009669,-0.05804,0.010164,0.014191,0.012921,0.017118,0.01651,0.016222,0.029375,0.00742,0.021849,0.010096,0.008326,0.017241,0.008766,-0.014201,-0.021068,0.250024,0.194951,0.050624,1.0,0.044449,0.6541,0.015447,-0.045041,0.084667,-0.148857,0.06186,-0.077704,0.166049,0.043021,-0.098565,0.136131,0.049241,-0.080973,0.05823,-0.042784,0.07953,-0.068721,-0.136426,0.10248,0.100233,0.068114,0.081741,0.016382,0.020869,-0.023754,0.105826
E11,-0.039492,0.143805,0.002347,-0.013139,-0.029302,-0.012445,-0.016055,-0.028887,-0.023801,-0.02424,-0.017009,-0.01276,-0.011875,-0.0117,-0.038444,-0.002889,0.064897,-0.103335,0.118542,0.50318,0.044449,1.0,0.082044,-0.053218,0.035883,0.013843,-0.084849,0.131324,0.00529,-0.055891,0.013026,0.023924,-0.084262,0.054365,0.114688,-0.125169,-0.058248,0.083183,-0.073013,-0.167231,-0.081195,0.079348,0.059956,-0.273258,-0.038807,0.096195,0.047452,0.025524
E12,0.179011,-0.105776,-0.001562,-0.001403,-0.001109,-0.001007,-0.001537,-0.001609,-0.000758,-0.001499,-0.001209,-0.000604,-0.001615,-0.001509,0.002053,0.011445,-0.006973,-0.123094,-0.051268,-0.148579,0.6541,0.082044,1.0,0.017711,0.008286,0.071099,0.047991,0.008518,0.049616,0.018077,0.018588,0.147224,0.092016,0.056511,0.07386,-0.09992,0.068758,-0.149215,-0.074662,0.285784,0.02152,-0.03965,-0.045029,-0.059829,-0.008735,-0.047426,-0.006187,-0.034735
M1,-0.15322,-0.016714,0.055538,0.017525,0.014365,0.022469,0.027154,0.017884,0.033994,0.034866,0.032637,0.012015,0.018895,0.014409,-0.001635,-0.006207,0.00066,-0.088508,0.021487,-0.022599,0.015447,-0.053218,0.017711,1.0,0.867857,0.370578,-0.02558,0.04557,-0.022339,-0.203825,0.053857,-0.420853,-0.007007,-0.076549,-0.391116,0.43612,-0.37406,-0.040107,-0.1283,-0.141824,-0.091042,-0.132892,-0.025986,0.045477,-0.094534,0.117983,0.243341,0.07009
